KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_8cmWW,It seems you don't have enough <color=#fddc1e>gold coins</color>...get some and come back. Bye,"Es scheint, du hast nicht genug <color=#fddc1e>Goldmünzen</color>...besorg dir welche und komm zurück. Bye",Il semble que vous n'ayez pas assez de <color=#fddc1e>Pièces d'or</color>... Revenez me voir avec plus d'argent. Bye,Sembra tu non abbia abbastanza <color=#fddc1e>Monete d'Oro</color>...torna quando ne avrai a sufficienza. Ciao,Parece que no tienes suficientes <color=#fddc1e>monedas de oro</color>... consigue algunas y vuelve. Adiós,,Parece que não tem o bastante <color=#fddc1e>Moedas de Ouro</color>...Consiga algumas e volte mais tarde. Até,,"Похоже, вам не хватает <color=#fddc1e>Золотых монет</color>...раздобудьте немного и возвращайтесь. Пока.","<color=#fddc1e>ゴールドコイン</color>が足りないようですね...手に入れて戻ってきてください. さようなら. ",看起来你没有足够的 <color=#fddc1e>金币</color>...去弄一些然后回来。再见,看來你沒有足夠的<color=#fddc1e>金幣</color> ......等你有更多錢再回來找我。再見,,,Φαίνεται ότι δεν έχεις αρκετά <color=#fddc1e>Χρυσά Νομίσματα</color>...βρες μερικά και ξαναέλα. Αντίο,,Có vẻ như bạn không có đủ <color=#fddc1e> Xu vàngs </color> ... hãy lấy một ít và quay lại. Tạm biệt
txt_S0uKE,You bet {GoldCoinsPlayerBet} <color=#fddc1e>gold coins</color> and I will also bet {GoldCoinsPlayerBet} <color=#fddc1e>gold coins</color>. \n\nYour first card is <color=#019245><b>{PlayerCards}</b></color>.,Du setzt {GoldCoinsPlayerBet} <color=#fddc1e>Goldmünzen</color> und ich werde ebenfalls {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color>. setzen.\n\n Deine erste Karte ist <color=#019245><b>{PlayerCards}</b></color>.,Vous pariez {GoldCoinsPlayerBet} <color=#fddc1e>Pièces d'or</color> et je vais parier également {GoldCoinsPlayerBet} <color=#fddc1e>Pièces d'or</color>. \n\nVotre première carte est <color=#019245><b>{PlayerCards}</b></color>.,"Hai scommesso {GoldCoinsPlayerBet} <color=#fddc1e>Monete d'Oro</color> , io scommetto {GoldCoinsPlayerBet} <color=#fddc1e>Monete d'Oro</color>. \n\nLa tua prima carta è <color=#019245><b>{PlayerCards}</b></color>.",Apuestas {GoldCoinsPlayerBet} <color=#fddc1e>monedas de oro</color> y yo también apostaré {GoldCoinsPlayerBet} <color=#fddc1e>monedas de oro</color>. \n\nTu primera carta es <color=#019245><b>{PlayerCards}</b></color>.,,Você aposta {GoldCoinsPlayerBet} <color=#fddc1e>Moedas de Ouro</color> eu também vou apostar {GoldCoinsPlayerBet} <color=#fddc1e>Moedas de Ouro</color>. \n\nSua primeira carta é <color=#019245><b>{PlayerCards}</b></color>.,,Вы ставите {GoldCoinsPlayerBet} <color=#fddc1e>Золотых монет</color> и я также ставлю {GoldCoinsPlayerBet} <color=#fddc1e>Золотых монет</color>. \n\nВаша первая карта <color=#019245><b>{PlayerCards}</b></color>.,"あなたは<color=#fddc1e> {GoldCoinsPlayerBet}ゴールドコイン</color>を賭け, 私も<color=#fddc1e> {GoldCoinsPlayerBet}ゴールドコイン</color>を賭けます. \n\nあなたの最初のカードは<color=#019245><b> {PlayerCards}</b></color>です. ",你下注了 {GoldCoinsPlayerBet} <color=#fddc1e>金币</color> 我也同样下注了 {GoldCoinsPlayerBet} <color=#fddc1e>金币</color>。\n\n你的第一张牌是 <color=#019245><b>{PlayerCards}</b></color>。,你下注{GoldCoinsPlayerBet} <color=#fddc1e>金幣</color> ，我也將投注{GoldCoinsPlayerBet} <color=#fddc1e>金幣</color>。\n\n你的第一張卡是 <color=#019245><b>{PlayerCards}</b></color>。,,,Στοιχιμάτισες {GoldCoinsPlayerBet} <color=#fddc1e>Χρυσά Νομίσματα</color> και εγώ επίσης στοιχιματίζω {GoldCoinsPlayerBet} <color=#fddc1e>Χρυσά Νομίσματα</color>. \n\nΗ πρώτη σου κάρτα είναι <color=#019245><b>{PlayerCards}</b></color>.,,Bạn đặt cược {GoldCoinsPlayerBet} <color=#fddc1e> Xu vàng </color> và tôi cũng sẽ đặt cược {GoldCoinsPlayerBet} <color=#fddc1e>Xu vàng </color>.\n\nThẻ đầu tiên của bạn là <color=#019245> <b> {PlayerCards} </b> </color>.
txt_aqCI0,Do you want another card?,Möchtst du eine andere Karte?,Voulez-vous une autre carte?,Vuoi un'altra carta?,¿Quieres otra carta?,,Deseja outra carta?,,Вы хотите еще карту?,他のカードが欲しい？,你要换个牌么?,你想要另一張卡嗎？,,,Θέλεις μία άλλη κάρτα;,,Bạn có muốn một thẻ khác không?
txt_GiiaK,Yes,Ja,Oui,Si,Sí,,Sim,,Да,Yes,是,是的,,,Ναι,,Đúng
txt_8OGas,No,Nein,Non,No,No,,Não,,Нет,No,否,不,,,Όχι,,Không
txt_GaeK3,Your next card is <color=#019245><b>{NextCard}</b></color>. \nNow you have <color=#fd9b00><b>{PlayerCards}</b></color> in total!,Deine nächste Karte ist <color=#019245><b>{NextCard}</b></color>. \nNun hast du <color=#fd9b00><b>{PlayerCards}</b></color> insgesamt!,Votre carte suivante est <color=#019245><b>{NextCard}</b></color>. \nMaintenant vous avez <color=#fd9b00><b>{PlayerCards}</b></color> au total!,La tua prossima carta è <color=#019245><b>{NextCard}</b></color>. \nAdesso hai <color=#fd9b00><b>{PlayerCards}</b></color> in totale!,Tu siguiente carta es <color=#019245><b>{NextCard}</b></color>. \nAhora tienes <color=#fd9b00><b>{PlayerCards}</b></color> en total.,,Sua próxima carta é <color=#019245><b>{NextCard}</b></color>. \nAgora você tem <color=#fd9b00><b>{PlayerCards}</b></color> no total!,,Ваша следующая карта <color=#019245><b>{NextCard}</b></color>. \nВы набрали <color=#fd9b00><b>{PlayerCards}</b></color> всего!,"次のカードは<color=#019245><b> {NextCard}です. \nあなたの合計は<color=#fd9b00><b> {PlayerCards}</b></color>です. ",你的下一个牌是 <color=#019245><b>{NextCard}</b></color>. \n现在你总共有 <color=#fd9b00><b>{PlayerCards}</b></color> !,您的下一張卡是<color=#019245><b>{NextCard}</b></color>。\n現在你有<color=#fd9b00><b>{PlayerCards}總共</b></color>,,,Η επόμενή σου κάρτα είναι <color=#019245><b>{NextCard}</b></color>. \nΤώρα έχεις <color=#fd9b00><b>{PlayerCards}</b></color> συνολικά!,,Thẻ tiếp theo của bạn là <color=#019245> <b> {NextCard} </b> </color>.\nBây giờ bạn có tổng cộng <color=#fd9b00> <b> {PlayerCards} </b> </color>!
txt_G0Fqm,<color=#cf0707>You lost!</color>,<color=#cf0707>Du hast verloren!</color>,<color=#cf0707>Vous avez perdu!</color>,<color=#cf0707>Hai Perso!</color>,<color=#cf0707>¡Has perdido!</color>,,<color=#cf0707>Você perdeu!</color>,,<color=#cf0707>Вы проиграли!</color>,<color=#cf0707>あなたの負けです！</color>,<color=#cf0707>你输了!</color>,<color=#cf0707>你輸了！</color>,,,<color=#cf0707>Έχασες!</color>,,<color=#cf0707> Bạn đã thua! </color>
txt_O4W4q,My first card is a <color=#019494>{DealerCards}</color>,Meine erste Karte ist <color=#019494>{DealerCards}</color>,Ma première carte est <color=#019494>{DealerCards}</color>,La mia prima carta è <color=#019494>{DealerCards}</color>,Mi primera carta es un <color=#019494>{DealerCards}</color>,,Minha primeira carta é <color=#019494>{DealerCards}</color>,,Моя первая карта <color=#019494>{DealerCards}</color>,"私の最初のカードは<color=#019494> {DealerCards}</color>です. ",你第一个卡是<color=#019494>{DealerCards}</color>,我的第一張牌是<color=#019494>{DealerCards}</color>,,,Η πρώτη μου κάρτα είναι μια <color=#019494>{DealerCards}</color>,,Thẻ đầu tiên của tôi là <color=#019494> {DealerCards} </color>
txt_0CqKm,My next card is <color=#019494>{DealerNewCard}</color>.   Now I have <color=#019494><b>{DealerCards}!</b></color>,Meine nächste Karte ist <color=#019494>{DealerNewCard}</color>. Nun habe ich <color=#019494><b>{DealerCards}!</b></color>,Ma carte suivante est <color=#019494>{DealerNewCard}</color>. Maintenant j'ai <color=#019494><b>{DealerCards}!</b></color> au total!,La mia prossima carta è <color=#019494>{DealerNewCard}</color>.   Adesso ho <color=#019494><b>{DealerCards}!</b></color>,Mi siguiente carta es <color=#019494>{DealerNewCard}</color>. Ahora tengo <color=#019494><b>{DealerCards}!</b></color>,,"Minha próxima carta é <color=#019494>{DealerNewCard}</color>.  Agora, tenho <color=#019494><b>{DealerCards}!</b></color>",,Моя следующая карта <color=#019494>{DealerNewCard}</color>.   Я набрал <color=#019494><b>{DealerCards}!</b></color>,私の次のカードは<color=#019494> {DealerNewCard}</color>です. これで<color=#019494><b> {DealerCards}</b></color>ができました！,你下一个卡是 <color=#019494>{DealerNewCard}</color>.  现在我有 <color=#019494><b>{DealerCards}!</b></color>,我的下一張卡是<color=#019494>{DealerNewCard}</color>。現在我有<color=#019494><b>{DealerCards}！</b></color>,,,Η επόμενη κάρτα μου είναι <color=#019494>{DealerNewCard}</color>.   Τώρα έχω <color=#019494><b>{DealerCards}!</b></color>,,Thẻ tiếp theo của tôi là <color=#019494> {DealerNewCard} </color>. Bây giờ tôi có <color=#019494> <b> {DealerCards}! </b> </color>
txt_40jMG,<color=#019245><b>You won! </b></color>Here take your <color=#fddc1e>{2*GoldCoinsPlayerBet} gold coins</color>!,"<color=#019245><b>Du hast gewonnen! </b></color>Hier, nimm deine <color=#fddc1e>{2*GoldCoinsPlayerBet} Goldmünzen</color>!",<color=#019245><b>YVous avez gagné!</b></color>. Voici vos <color=#fddc1e>{2*GoldCoinsPlayerBet} Pièces d'or</color>!,"<color=#019245><b>Hai vinto! </b></color>Ecco, prendi le tue <color=#fddc1e>{2*GoldCoinsPlayerBet} Monete d'Oro</color>!",<color=#019245><b>¡Has ganado! </b></color>¡Toma tus <color=#fddc1e>{2*GoldCoinsPlayerBet} monedas de oro</color>!,,"<color=#019245><b>Você venceu! </b></color>Aqui, peque suas <color=#fddc1e>{2*GoldCoinsPlayerBet} Moedas de Ouro</color>!",,<color=#019245><b>Вы выиграли! </b></color>Заберите ваши <color=#fddc1e>{2*GoldCoinsPlayerBet} Золотых монет</color>!,<color=#019245><b>あなたの勝ちです！</b></color><color=#fddc1e> {2*GoldCoinsPlayerBet} </color>ゴールドコインをどうぞ！,<color=#019245><b>你赢了！</b></color>来，拿上你的<color=#fddc1e>{2*GoldCoinsPlayerBet} 金币</color>!,<color=#019245><b>你贏了！</b></color>拿走你的<color=#fddc1e>{2*GoldCoinsPlayerBet}金幣</color>！,,,<color=#019245><b>Κερδίσατε! </b></color>Εδώ πάρτε τα <color=#fddc1e>{2*GoldCoinsPlayerBet} Gold Coins</color>!,,<color=#019245> <b> Bạn đã thắng! </b> </color> Tại đây nhận <color=#fddc1e> {2*GoldCoinsPlayerBet} Xu vàng </color> của bạn!
txt_8mhiq,You have <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>You lost! </color>,Du hast <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Du hast verlorent!</color>,Vous avez <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Vous avez perdu!</color>,Hai <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Hai perso!</color>,Tienes <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>¡Has perdido!</color>,,Você tem <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Você perdeu!</color>,,У вас <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Вы проиграли!</color>,あなたのカードは<color=#fd9b00> {PlayerCards} </color>. <color=#ff0000>あなたの負けです！</color>,您有<color=#fd9b00>{PlayerCards}</color>。 <color=#ff0000>您输了!</color>,您有<color=#fd9b00>{PlayerCards}</color>。<color=#ff0000>你輸了！</color>,,,Έχετε <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Έχασες!</color>,,Bạn có <color=#fd9b00> {PlayerCards} </color>. <color=#ff0000> Bạn đã thua! </color>
txt_8Ujii,You have <color=#019245>won {TotalGamesWon}</color> and <color=#cf0707>lost {TotalGamesLost}</color> <color=#cf0707></color>games in this session so far.\nDo you want to play again?,Du hast bis jetzt<color=#019245>{TotalGamesWon} gewonnene</color> und <color=#cf0707>{TotalGamesLost} verlorene</color> <color=#cf0707></color> Partien in dieser Runde.\n Möchtest du wieder spielen?,Tu as <color=#019245>gagné {TotalGamesWon}</color> et <color=#cf0707>perdu {TotalGamesLost}</color> <color=#cf0707></color>jeux dans cette session jusqu'à présent.\nVeux-tu rejouer ?,Hai <color=#019245>vinto {TotalGamesWon}</color> e <color=#cf0707>perso {TotalGamesLost}</color> partite in questa sessione finora.\nVuoi giocare di nuovo?,Has <color=#019245>ganado {TotalGamesWon}</color> y <color=#cf0707>perdido {TotalGamesLost}</color> <color=#cf0707></color>juegos en esta sesión hasta ahora.\n¿Quieres jugar de nuevo?,,Você ganhou {TotalGamesWon}</color> e perdeu {TotalGamesLost}</color> <color=#cf0707></color> <color=#cf0707></color> jogos nesta sessão até agora.\nVocê quer jogar novamente?,,Вы <color=#019245>выйграли {TotalGamesWon}</color> и <color=#cf0707>проиграли {TotalGamesLost}</color> <color=#cf0707></color>игр в этом игровом сеансе.\nХотите играть еще?,"あなたはこれまでのところ, このセッションで<color=#019245> {TotalGamesWon}回勝ち</color> , <color=#cf0707> {TotalGamesLost}回負け</color>ています. \nもう一度プレイしますか？",你拥有 <color=#019245>赢 {TotalGamesWon}</color> and <color=#cf0707>损失 {TotalGamesLost}</color> <color=#cf0707></color>游戏到目前为止的\n你想再玩一次吗?,你已<color=#019245>贏了{TotalGamesWon}</color>和<color=#cf0707>失去{TotalGamesLost}</color><color=#cf0707></color>到目前為止。\n你想再玩嗎？,,,Έχετε <color=#019245>κερδίσει {TotalGamesWon}</color> και <color=#cf0707>χάσει {TotalGamesLost}</color> παιχνίδια σε αυτή τη συνεδρία μέχρι τώρα.\nΘέλεις να ξαναπαίξεις;,,"Cho đến nay, bạn <color=#019245>thắng {TotalGamesWon}</color> và <color=#cf0707>thua {TotalGamesLost}</color> <color=#cf0707></color>trong phiên này.\nHãy làm bạn muốn chơi lại?"
txt_vmOu4,Yes,Ja,Oui,Si,Sí,,Sim,,Да,Yes,是,是的,,,Ναι,,Đúng
txt_8Oiie,No,Nein,Non,No,No,,Não,,Нет,No,否,不,,,Όχι,,Không
txt_O8CaF,Come back soon! Bye.,Komm bald wieder! Bye,Revenez me voir! Bye.,Torna presto! Ciao.,¡Vuelve pronto! Adiós.,,Volte sempre! Até mais.,,Возвращайся скорее! До свидания.,"また来てください！　さようなら. ",很快回来！再见。,有空再來！再見。,,,Ελάτε ξανά σύντομα! Αντίο.,,Quay lại sớm! Tạm biệt!
txt_oiqaF,"First I draw cards for you, then for myself. Whoever comes closest to number 21 wins. The card I draw has the number from 1 to 11. After each card you have the choice to stop.\nIf you win, you get my part on top of your bet.","Erst lege ich Karten für dich, dann für mich. Wer näher an den Wert 21 kommt, gewinnt. Die Karten die ich lege, haben Werte zwischen 1 und 11. Nach jeder Karte hast du die Möglichkeit aufzuhören.\n Wenn du gewinnst, bekommst du meinen Einsatz.","Je pioche d'abord des cartes pour vous, puis pour moi. Celui qui s'approche le plus du nombre 21 gagne. La carte piochée a un nombre de 1 à 11. Après chaque carte, vous avez le choix d'arrêter. \nSi vous gagnez, vous obtenez ma part en plus de votre mise.","Pescherò prima le tue carte, poi le mie. Vince chi arriva più vicino al Numero 21. Le carte che pesco possono andare dall'1 all'11. Dopo ogni carta puoi decidere di fermarti.\nSe vinci, riceverai la somma delle nostre scommesse.","Primero saco cartas para ti, luego para mí. Quien más se acerque al número 21 gana. La carta que saco tiene el número del 1 al 11. Después de cada carta tienes la opción de parar.\nSi ganas, obtienes mi parte además de tu apuesta.",,"Primeiro eu compro cartas para você e depois para mim. Quem chegar mais perto do número 21 vence. A carta que eu tirar tem o número de 1 a 11. Depois de cada carta, você tem a opção de parar.\nSe você ganhar, receberá a minha parte além da sua aposta.",,"Сначала я раздаю карты вам, потом себе. Тот, кто ближе всех к числу 21, побеждает. Карта, которую я раздаю, имеет номер от 1 до 11. После каждой карты у вас есть возможность остановиться.\nЕсли вы выиграете, вы получите мою ставку в дополнение к вашей.","最初にあなたのためにカードを引き, 次に私のためにカードを引きます. 21に一番近い人が勝ちです. 私が引くカードには1から11までの数字が描かれています. カードを引いた後, もうカードを引くのを止めるかどうかを選ぶことができます. \nあなたが勝った場合, あなたの賭け金と私の分の賭け金をもらえます. ",我先给你发牌，然后给自己发牌。谁最接近21点谁赢。我发的牌数字是1到11之间。每次发牌后你可以选择停止。\n如果你赢了，你会得到你下注额之外我的部分。,首先我為你抽一張卡，然後為自己抽一張。最接近21點的勝。我抽的卡片的數字從1到11.在每次抽卡後，您可以選擇停止。\n如果你贏了，你可以贏得我的籌碼。,,,"Πρώτα τραβάω κάρτες για εσάς και μετά για τον εαυτό μου. Όποιος έρθει πιο κοντά στο νούμερο 21 κερδίζει. Η κάρτα που τραβάω έχει τον αριθμό από το 1 έως το 11. Μετά από κάθε κάρτα έχετε την επιλογή να σταματήσετε.\nΑν κερδίσετε, θα πάρετε το μερίδιό μου πάνω από το στοίχημά σας.",,"Đầu tiên tôi rút thẻ cho bạn, sau đó cho chính tôi. Ai đến gần Số 21 nhất sẽ thắng. Thẻ tôi rút có số từ 1 đến 11. Sau mỗi thẻ bạn có quyền lựa chọn dừng lại.\nNếu bạn thắng, bạn sẽ nhận được phần của tôi trên tiền cược của bạn."
txt_emqJ4,"Ok thanks, I got it <i><color=#ffffff>(Back)</color></i>","Ok danke, ich habe verstanden <i><color=#ffffff>(Back)</color></i>",Ok j'ai compris <i><color=#ffffff>(Retour)</color></i>,"Ok ho capito, grazie <i><color=#ffffff>(Indietro)</color></i>","Ok gracias, lo tengo <i><color=#ffffff>(Atrás)</color></i>",,Entendi. Obrigado. <i><color=#ffffff>(Voltar)</color></i>,,"Хорошо, спасибо, я понял <i><color=#ffffff>(Вернуться)</color></i>","OKありがとう, もらった<i><color=#ffffff>（戻る）</color></i>",好的，谢谢，我明白了 <i><color=#ffffff>（返回）</color></i>,好的，謝謝，我了解了<i><color=#ffffff>（返回）</color></i>,,,"Εντάξει, ευχαριστώ, το κατάλαβα <i><color=#ffffffff>(Back)</color></i>",,"Ok, cảm ơn, tôi đã hiểu rồi <i> <color=#ffffff> (Quay lại) </color> </i>"
txt_80qd8,"Wait, how does it work?","Warte, wie funktioniert das?","Attendez, comment ça marche?","Un momento, come funziona?","Espera, ¿cómo funciona?",,Espere! Como funciona?,,"Подождите, как это работает?","待て, これはどうやるんだ？",等等，这怎么玩？,等等，它是如何運作的？,,,"Περίμενε, πώς δουλεύει;",,"Chờ đã, nó hoạt động như thế nào?"
txt_O4ame,You lost 20 times on my table now. Come back later and think about getting a real job maybe.,"Du hast jetzt 20 Mal an meinem Tisch verloren. Komm später wieder und denk darüber nach, dir vielleicht einen richtigen Job zu suchen.",Tu as perdu 20 fois sur ma table maintenant. Reviens plus tard et pense à trouver un vrai travail peut-être.,Hai perso 20 volte al mio tavolo ora. Torna più tardi e pensa magari a trovare un vero lavoro.,Has perdido 20 veces en mi mesa ahora. Vuelve más tarde y piensa en conseguir un trabajo de verdad tal vez.,,Você perdeu 20 vezes na minha mesa agora. Você pode voltar mais tarde e pensar em conseguir um emprego de verdade.,,Вы проиграли 20 раз за моим столом. Возвращайтесь позже и подумайте о поиске настоящей работы.,"あなたは今まで私のテーブルで20回も負けました. ちょっと休憩でもして, まともな仕事に就くことを考えたらどうでしょうか. ",你已经在我的桌子上输了20次。回去好好想想是不是该找个真正的工作了。,你現在這牌桌輸了20次。晚點再來或著好好考慮認真工作吧。,,,Έχεις χάσει 20 φορές στο τραπέζι μου μέχρι τώρα. Έλα αργότερα και σκέψου να βρεις μια πραγματική δουλειά.,,Bạn đã thua 20 lần trên bàn của tôi cho đến nay. Hãy quay lại sau và nghĩ về việc có thể kiếm được một công việc thực sự.
